mineral,year,flow,country_iso,country,trade_value_usd,net_weight_kg
Cobalt,2010,Export,BEL,Belgium,120777306.48,6368292.34
Cobalt,2010,Export,CHE,Switzerland,955523065.65,197148589.05
Cobalt,2010,Export,CHN,China,939542460.14,39067961.05
Cobalt,2010,Export,FIN,Finland,165740268.38,9611285.49
Cobalt,2010,Export,FRA,France,123511972.24,2222111.6
Cobalt,2010,Export,GBR,United Kingdom,184695778.24,3675837.1
Cobalt,2010,Export,ITA,Italy,73819071.76,989903.37
Cobalt,2010,Export,JPN,Japan,290194736.35,8083099.7
Cobalt,2010,Export,KOR,Rep. of Korea,140208180.69,3890277.16
Cobalt,2010,Export,NLD,Netherlands,236755838.86,5658010.28
Cobalt,2010,Export,NOR,Norway,112530472.0,3350232.91
Cobalt,2010,Export,OTH,Others,678457499.42,15827778.12
Cobalt,2010,Export,S19,"Other Asia, nes",88380833.36,2001621.0
Cobalt,2010,Export,USA,USA,375397428.67,8741048.35
Cobalt,2010,Export,ZAF,South Africa,762340599.79,65766673.14
Cobalt,2010,Export,_X ,"Areas, nes",388163468.9,10397515.2
Cobalt,2010,Import,AUS,Australia,210532984.26,7844099.19
Cobalt,2010,Import,BEL,Belgium,637098352.82,15002455.27
Cobalt,2010,Import,CAN,Canada,311030075.64,8308833.27
Cobalt,2010,Import,CHN,China,423340909.97,11965205.09
Cobalt,2010,Import,COD,Dem. Rep. of the Congo,4529298313.51,417156052.95
Cobalt,2010,Import,DEU,Germany,104048230.19,1614811.03
Cobalt,2010,Import,FIN,Finland,755068943.94,18791013.21
Cobalt,2010,Import,GBR,United Kingdom,354440504.62,8066376.86
Cobalt,2010,Import,JPN,Japan,103378120.96,2759539.42
Cobalt,2010,Import,NLD,Netherlands,99508973.65,3018430.28
Cobalt,2010,Import,NOR,Norway,176653734.53,4080678.0
Cobalt,2010,Import,OTH,Others,490698330.01,37109706.24
Cobalt,2010,Import,RUS,Russian Federation,230836328.76,12298565.6
Cobalt,2010,Import,USA,USA,414821913.0,10673361.34
Cobalt,2010,Import,ZAF,South Africa,101849489.39,16711393.26
Cobalt,2010,Import,ZMB,Zambia,148192426.04,5877100.0
Cobalt,2011,Export,ARE,United Arab Emirates,167809910.29,1519617.9
Cobalt,2011,Export,BEL,Belgium,129536309.09,4451437.51
Cobalt,2011,Export,CHE,Switzerland,587449851.94,95735622.99
Cobalt,2011,Export,CHN,China,522040805.58,31238130.71
Cobalt,2011,Export,FRA,France,158301389.84,2840328.6
Cobalt,2011,Export,GBR,United Kingdom,215217140.21,6004107.82
Cobalt,2011,Export,ITA,Italy,111053222.35,1439355.17
Cobalt,2011,Export,JPN,Japan,290990255.25,7838838.43
Cobalt,2011,Export,KOR,Rep. of Korea,200006898.13,6660795.54
Cobalt,2011,Export,NLD,Netherlands,212313814.64,6006293.88
Cobalt,2011,Export,NOR,Norway,85062695.14,2680918.27
Cobalt,2011,Export,OTH,Others,760534044.95,23355596.23
Cobalt,2011,Export,S19,"Other Asia, nes",83493068.38,2179174.7
Cobalt,2011,Export,USA,USA,372606763.87,10606471.57
Cobalt,2011,Export,ZAF,South Africa,1100688090.61,21603517.52
Cobalt,2011,Export,_X ,"Areas, nes",390548899.0,9589034.0
Cobalt,2011,Import,AUS,Australia,216142288.37,9069514.71
Cobalt,2011,Import,BEL,Belgium,673924779.16,18319006.4
Cobalt,2011,Import,CAN,Canada,404494741.63,13363895.57
Cobalt,2011,Import,CHN,China,425946452.92,12426908.57
Cobalt,2011,Import,COD,Dem. Rep. of the Congo,3709180983.2,408299348.08
Cobalt,2011,Import,DEU,Germany,133956920.39,2278811.12
Cobalt,2011,Import,FIN,Finland,791784914.13,21390882.95
Cobalt,2011,Import,GBR,United Kingdom,399962999.66,10618348.25
Cobalt,2011,Import,JPN,Japan,119197073.5,21266957.54
Cobalt,2011,Import,NLD,Netherlands,78143952.78,2557474.75
Cobalt,2011,Import,NOR,Norway,133778117.1,3484234.8
Cobalt,2011,Import,OTH,Others,489084353.71,38230702.59
Cobalt,2011,Import,RUS,Russian Federation,163150457.05,11551317.8
Cobalt,2011,Import,USA,USA,502109913.99,11046992.42
Cobalt,2011,Import,ZAF,South Africa,196311100.2,44602739.22
Cobalt,2011,Import,ZMB,Zambia,173455378.15,11211838.0
Cobalt,2012,Export,BEL,Belgium,126358046.34,6012514.29
Cobalt,2012,Export,CHE,Switzerland,172555902.13,3445711.36
Cobalt,2012,Export,CHN,China,855666258.3,29158467.0
Cobalt,2012,Export,DEU,Germany,88768915.35,1773824.0
Cobalt,2012,Export,FRA,France,135403105.32,2693389.56
Cobalt,2012,Export,GBR,United Kingdom,170911091.64,4393449.57
Cobalt,2012,Export,ITA,Italy,104823671.22,1469119.04
Cobalt,2012,Export,JPN,Japan,214709795.02,5867351.04
Cobalt,2012,Export,KOR,Rep. of Korea,219974258.16,8443219.37
Cobalt,2012,Export,NLD,Netherlands,216889865.48,7608823.32
Cobalt,2012,Export,NOR,Norway,68629796.47,3153942.61
Cobalt,2012,Export,OTH,Others,652879649.76,22600093.26
Cobalt,2012,Export,S19,"Other Asia, nes",74447627.53,2079987.22
Cobalt,2012,Export,USA,USA,381055015.62,11791115.36
Cobalt,2012,Export,ZAF,South Africa,957294622.91,9229235.5
Cobalt,2012,Export,_X ,"Areas, nes",309433443.0,0.0
Cobalt,2012,Import,AUS,Australia,160171339.51,8255598.49
Cobalt,2012,Import,BEL,Belgium,660925481.93,21040039.32
Cobalt,2012,Import,CAN,Canada,329963329.17,11121724.88
Cobalt,2012,Import,CHN,China,361735380.08,13152595.58
Cobalt,2012,Import,COD,Dem. Rep. of the Congo,3261712048.31,304102868.0
Cobalt,2012,Import,DEU,Germany,159237299.12,3279302.1
Cobalt,2012,Import,FIN,Finland,645545025.46,20623697.12
Cobalt,2012,Import,FRA,France,65057157.63,2364389.68
Cobalt,2012,Import,GBR,United Kingdom,362984849.7,10217414.44
Cobalt,2012,Import,JPN,Japan,101217943.18,3293187.7
Cobalt,2012,Import,NLD,Netherlands,107027303.46,3911049.56
Cobalt,2012,Import,NOR,Norway,95124882.55,3178356.07
Cobalt,2012,Import,OTH,Others,394381498.26,33296779.16
Cobalt,2012,Import,RUS,Russian Federation,101816074.34,2477427.2
Cobalt,2012,Import,USA,USA,485460770.61,9307689.06
Cobalt,2012,Import,ZMB,Zambia,112160358.48,4262722.0
Cobalt,2013,Export,ARE,United Arab Emirates,254413545.84,2343586.92
Cobalt,2013,Export,BEL,Belgium,173628686.14,7850013.33
Cobalt,2013,Export,CHE,Switzerland,97094228.91,670139.43
Cobalt,2013,Export,CHN,China,619045819.38,107063658.98
Cobalt,2013,Export,DEU,Germany,87709361.12,1888591.58
Cobalt,2013,Export,FRA,France,134962621.84,2516649.19
Cobalt,2013,Export,GBR,United Kingdom,214477628.82,6578189.97
Cobalt,2013,Export,ITA,Italy,117053444.72,1856090.38
Cobalt,2013,Export,JPN,Japan,204153237.07,6680971.16
Cobalt,2013,Export,KOR,Rep. of Korea,244714085.84,10113519.0
Cobalt,2013,Export,NLD,Netherlands,220601013.87,9147562.6
Cobalt,2013,Export,OTH,Others,695365366.43,24255955.93
Cobalt,2013,Export,S19,"Other Asia, nes",123083677.78,3393826.59
Cobalt,2013,Export,USA,USA,384274551.8,11209068.13
Cobalt,2013,Export,ZAF,South Africa,1827782379.2,4550111.3
Cobalt,2013,Export,_X ,"Areas, nes",291697617.0,9059599.0
Cobalt,2013,Import,AUS,Australia,141070059.82,7693909.3
Cobalt,2013,Import,BEL,Belgium,631428230.58,21139619.02
Cobalt,2013,Import,CAN,Canada,297089831.43,10463110.84
Cobalt,2013,Import,CHN,China,434767956.75,16836097.69
Cobalt,2013,Import,COD,Dem. Rep. of the Congo,4039781435.28,335783837.0
Cobalt,2013,Import,DEU,Germany,163034279.79,3374217.64
Cobalt,2013,Import,FIN,Finland,753922576.18,25646818.6
Cobalt,2013,Import,FRA,France,75343564.52,1635165.53
Cobalt,2013,Import,GBR,United Kingdom,298272601.87,9081518.97
Cobalt,2013,Import,JPN,Japan,113624452.18,4165350.54
Cobalt,2013,Import,NLD,Netherlands,79003347.22,2636881.07
Cobalt,2013,Import,NOR,Norway,87162632.45,3123126.0
Cobalt,2013,Import,OTH,Others,379987506.51,25955417.08
Cobalt,2013,Import,RUS,Russian Federation,78483804.93,7135180.0
Cobalt,2013,Import,USA,USA,453016470.28,8034125.44
Cobalt,2013,Import,ZMB,Zambia,128615583.58,7721213.0
Cobalt,2014,Export,ARE,United Arab Emirates,772396983.26,6428288.9
Cobalt,2014,Export,BEL,Belgium,237264536.76,11714814.37
Cobalt,2014,Export,CHE,Switzerland,95771209.78,693851.13
Cobalt,2014,Export,CHN,China,178653360.61,7377218.66
Cobalt,2014,Export,FRA,France,157808934.29,2552058.44
Cobalt,2014,Export,GBR,United Kingdom,188893446.83,5411522.63
Cobalt,2014,Export,ITA,Italy,113068600.46,1675079.02
Cobalt,2014,Export,JPN,Japan,186899576.78,56474367.0
Cobalt,2014,Export,KOR,Rep. of Korea,259794446.73,10673624.53
Cobalt,2014,Export,NLD,Netherlands,270910385.67,13373851.36
Cobalt,2014,Export,NOR,Norway,89396949.74,3130718.96
Cobalt,2014,Export,OTH,Others,772596128.73,18953257.64
Cobalt,2014,Export,S19,"Other Asia, nes",153346369.25,4443408.94
Cobalt,2014,Export,USA,USA,417413425.43,12401256.93
Cobalt,2014,Export,ZAF,South Africa,209146778.42,3266513.99
Cobalt,2014,Export,_X ,"Areas, nes",334269367.0,6205804.0
Cobalt,2014,Import,AUS,Australia,140905082.86,5015206.49
Cobalt,2014,Import,BEL,Belgium,591396490.6,16676980.81
Cobalt,2014,Import,CAN,Canada,284716892.2,8943020.24
Cobalt,2014,Import,CHN,China,473197049.26,10522536.52
Cobalt,2014,Import,COD,Dem. Rep. of the Congo,3052225390.04,359727634.0
Cobalt,2014,Import,DEU,Germany,186222387.84,3345218.22
Cobalt,2014,Import,FIN,Finland,763887600.55,22139270.0
Cobalt,2014,Import,GBR,United Kingdom,269021013.31,8477274.39
Cobalt,2014,Import,JPN,Japan,151723760.92,4242412.24
Cobalt,2014,Import,MDG,Madagascar,198446922.12,6545356.0
Cobalt,2014,Import,NLD,Netherlands,107005130.36,3134764.69
Cobalt,2014,Import,NOR,Norway,121384185.45,3884775.73
Cobalt,2014,Import,OTH,Others,464421786.37,29003906.89
Cobalt,2014,Import,RUS,Russian Federation,93890927.24,5640097.43
Cobalt,2014,Import,USA,USA,514943881.82,10934218.24
Cobalt,2014,Import,ZMB,Zambia,124156076.86,5707233.0
Cobalt,2015,Export,ARE,United Arab Emirates,507038793.67,69820746.91
Cobalt,2015,Export,BEL,Belgium,266245742.44,13930837.72
Cobalt,2015,Export,CHE,Switzerland,287312588.71,7740677.58
Cobalt,2015,Export,CHN,China,1773404485.36,604919594.13
Cobalt,2015,Export,FIN,Finland,411728976.58,90288632.69
