mineral,year,flow,n_reporters,total_value_usd,total_weight_kg
Cobalt,2010,Export,69,5636038986.973,382724965.58
Cobalt,2010,Import,139,9090797634.295,579149281.9070001
Cobalt,2011,Export,73,5387653154.326,233749241.819
Cobalt,2011,Import,144,8610624428.979,639718977.774
Cobalt,2012,Export,68,4749801058.314,119720194.263
Cobalt,2012,Import,138,7404520734.794,453736440.639
Cobalt,2013,Export,77,5690057259.708,209177536.466
Cobalt,2013,Import,142,8154604346.36,490425586.738
Cobalt,2014,Export,69,4437630509.773,164775636.427
Cobalt,2014,Import,142,7537544572.76,495613100.03499997
Cobalt,2015,Export,71,14884227035.27,2227817727.615
Cobalt,2015,Import,137,8201676325.867,981407537.22
Cobalt,2016,Export,76,11895850320.034,1780133131.774
Cobalt,2016,Import,150,7582739927.806,171378853.047
Cobalt,2017,Export,78,28626896353.333,2175315017.519
Cobalt,2017,Import,150,14015623657.748,1066207949.76
Cobalt,2018,Export,77,52516248650.484,2701523497.553
Cobalt,2018,Import,144,16583047912.314,665846964.868
Cobalt,2019,Export,75,21612328457.684,2040386839.2749999
Cobalt,2019,Import,142,8606481076.796,630104263.903
Cobalt,2020,Export,76,9287740747.947,637940997.112
Cobalt,2020,Import,133,8512943562.839,691324671.994
Cobalt,2021,Export,70,14334473432.980999,686484956.868
Cobalt,2021,Import,136,13112298665.351,682330992.3410001
Cobalt,2022,Export,76,13837676065.201,443351992.27
Cobalt,2022,Import,139,17842834481.239998,736631795.504
Cobalt,2023,Export,80,12886114294.116,778852678.997
Cobalt,2023,Import,138,9599192888.914999,717237405.48
Cobalt,2024,Export,72,5915919647.332,283846573.246
Cobalt,2024,Import,114,9083873989.147,901669448.062
Cobalt,2025,Export,22,2121239033.311,89029407.89099999
Cobalt,2025,Import,30,1346295014.724,77843444.109
Copper,2010,Export,81,146766871642.413,33994687538.452
Copper,2010,Import,112,184841400356.859,53488415975.022
Copper,2011,Export,86,189908590737.94998,56113921092.722
Copper,2011,Import,110,225412764366.534,51867823104.979
Copper,2012,Export,86,188051526286.188,39005682769.408
Copper,2012,Import,107,212288496223.685,57406463723.792
Copper,2013,Export,86,190020276578.461,47644618384.882
Copper,2013,Import,113,230077343145.77,66490415128.321
Copper,2014,Export,88,185836072854.967,50958787684.532
Copper,2014,Import,109,222946450309.952,65590412103.339
Copper,2015,Export,91,166333160266.594,64082263041.687996
Copper,2015,Import,115,221709923825.387,80980257300.703
Copper,2016,Export,83,150899489046.876,64673216450.798004
Copper,2016,Import,110,217508683621.078,95821202828.34
Copper,2017,Export,92,202640598918.247,74064540203.18
Copper,2017,Import,114,288706327463.393,115198272958.781
Copper,2018,Export,93,240587126550.113,81622529579.804
Copper,2018,Import,116,257894116774.393,92267130121.149
Copper,2019,Export,93,216952807169.89902,73641957341.429
Copper,2019,Import,107,200991076762.452,73695570680.029
Copper,2020,Export,98,195169726729.296,177361254286.777
Copper,2020,Import,104,228517049549.615,95510962465.419
Copper,2021,Export,94,282039023509.576,206998057108.62198
Copper,2021,Import,114,325144219221.92,80499069685.557
Copper,2022,Export,95,259890106676.507,241347191425.365
Copper,2022,Import,115,331574816946.049,80455246680.342
Copper,2023,Export,95,259380393436.544,60913951804.378
Copper,2023,Import,105,325290201551.723,82707319291.589
Copper,2024,Export,79,322006162786.375,78446340242.69
Copper,2024,Import,105,335958480806.843,80394401927.448
Copper,2025,Export,22,119844204948.036,19795946629.600998
Copper,2025,Import,26,35834678244.33,8907031600.55
Lithium,2010,Export,85,1638648465.772,1995989118.593
Lithium,2010,Import,162,1849062514.96,946553387.121
Lithium,2011,Export,85,1863355676.78,741445822.428
Lithium,2011,Import,161,1961100478.409,1117544517.54
Lithium,2012,Export,89,1720657830.753,1399740027.961
Lithium,2012,Import,162,2060083790.719,1351883944.363
Lithium,2013,Export,91,1868910354.055,1908590917.649
Lithium,2013,Import,163,1917782521.733,1559162550.334
Lithium,2014,Export,88,2093385207.932,2113640592.993
Lithium,2014,Import,165,1973507415.932,1482003731.228
Lithium,2015,Export,92,1885114675.39,2164277748.305
Lithium,2015,Import,161,2165594318.567,1676827584.81
Lithium,2016,Export,91,2643504083.341,2329160658.652
Lithium,2016,Import,168,3056425996.625,1802333478.64
Lithium,2017,Export,96,3739959999.641,2901271867.061
Lithium,2017,Import,173,4369003164.013,2303226204.492
Lithium,2018,Export,91,4248123047.633,3000550652.9769998
Lithium,2018,Import,169,5205189033.186,2137439549.07
Lithium,2019,Export,91,3682045738.8059998,2477329962.679
Lithium,2019,Import,165,4679006084.197,2311834506.133
Lithium,2020,Export,95,3367460590.554,3146804623.2530003
Lithium,2020,Import,161,4101990511.306,2776043601.93
Lithium,2021,Export,92,4720526388.948,3436925081.088
Lithium,2021,Import,163,5315021771.046,2858574417.752
Lithium,2022,Export,90,18514240567.4,3881197909.601
Lithium,2022,Import,162,20425176857.395,3268525603.011
Lithium,2023,Export,94,18454951142.334,4048193013.933
Lithium,2023,Import,158,23355398013.368,3095164083.188
Lithium,2024,Export,85,8953612051.459,4367221889.201
Lithium,2024,Import,132,9539119053.316,3183524303.053
Lithium,2025,Export,24,3226999182.825,969522995.318
Lithium,2025,Import,31,1338004601.606,870166911.661
Manganese,2010,Export,80,10485102200.89,45295056350.245
Manganese,2010,Import,116,9302159413.664999,25608016963.285
Manganese,2011,Export,83,9671684704.396,46000300980.867
Manganese,2011,Import,122,9341532987.457,28482046998.16
Manganese,2012,Export,78,8652930460.065,32574119627.169
Manganese,2012,Import,113,7493637889.988999,27499743383.807
Manganese,2013,Export,80,11182516289.71,61900073379.278
Manganese,2013,Import,120,8137686080.215,31855724430.048
Manganese,2014,Export,81,10986531264.743,69752115423.411
Manganese,2014,Import,113,7760040084.081,33285855157.948997
Manganese,2015,Export,77,8300271684.306,62645320687.844
Manganese,2015,Import,118,8059295291.972,48224246596.246
Manganese,2016,Export,81,9116481739.541,69769059525.441
Manganese,2016,Import,124,7890604167.905,15196540639.822
Manganese,2017,Export,85,14627555846.764,81635538304.822
Manganese,2017,Import,120,16104410867.625,83641808346.56
Manganese,2018,Export,83,18271930267.444,96197533596.045
Manganese,2018,Import,123,15979898434.374,50886335380.482
Manganese,2019,Export,79,17904689220.357,123596687734.166
Manganese,2019,Import,121,13537864011.138,18868537770.21
