mineral,year,total_value_usd,avg_price_usd
Cobalt,2005,3010876080.814,28947.549896854016
Cobalt,2006,3236977634.632,31172.303428077383
Cobalt,2007,4926201896.077,54341.499809881214
Cobalt,2008,9949509581.3,70839.25446859405
Cobalt,2009,4979135954.002,32088.124664743587
Cobalt,2010,9160376252.937,39368.27612377319
Cobalt,2011,8713615380.935,35344.638635317984
Cobalt,2012,7506160259.356,28930.686530122242
Cobalt,2013,8227464018.849,27090.82250631313
Cobalt,2014,7630482187.065,30780.731956553107
Cobalt,2015,8294534002.131,28451.66069855964
Cobalt,2016,7691169511.05,25463.368542568543
Cobalt,2017,10532993775.454,55832.17098074292
Cobalt,2018,13505895540.51,72911.23689801332
Cobalt,2019,6513507696.719,33177.63230539086
Cobalt,2020,7208780547.723,31444.926902256466
Cobalt,2021,9789102330.371,51235.51837983876
Cobalt,2022,12773566829.173,63764.719304065504
Cobalt,2023,7116836172.736,34275.04150452506
Cobalt,2024,7191527676.807,26326.82756054332
Copper,2005,116764039965.285,3676.494724025974
Copper,2006,208038062300.478,6731.351907154524
Copper,2007,241905728164.056,7131.630016211752
Copper,2008,355452537278.099,6963.481997803716
Copper,2009,231950497453.427,5164.158777821943
Copper,2010,343311640666.853,7538.362119757149
Copper,2011,421828926500.467,8823.454246463078
Copper,2012,400542143301.448,7958.924678211916
Copper,2013,414142481745.703,7331.4907649868255
Copper,2014,396607318674.432,6863.396580517911
Copper,2015,390818713899.821,5510.4571127155
Copper,2016,373239311857.136,4867.89742965368
Copper,2017,405207144501.153,6169.939941851363
Copper,2018,402929296170.474,6529.798370968594
Copper,2019,310361824808.995,6010.145429645837
Copper,2020,355609878207.915,6174.557917322127
Copper,2021,457735372388.173,9317.409165882427
Copper,2022,479168252073.638,8828.916814064558
Copper,2023,451050920061.702,8490.76173149978
Copper,2024,464859677677.233,9142.101560025723
Lithium,2012,1014494642.903,64221.85077111941
Lithium,2013,751347247.191,65875.2571307001
Lithium,2014,805002509.025,63926.87415881332
Lithium,2015,1061041586.143,65258.13200980946
Lithium,2016,1929321223.719,97757.67515775467
Lithium,2017,2346006328.573,120987.06713548217
Lithium,2018,2971575103.166,135280.34135568942
Lithium,2019,2796881082.272,101415.38540215483
Lithium,2020,2301134750.35,75010.66885391502
Lithium,2021,2921530893.7929997,111234.22575103985
Lithium,2022,16466516550.742,416957.7632264642
Lithium,2023,19316740216.337,266930.7932084244
Lithium,2024,6651148902.8029995,113585.22841983552
Manganese,2012,8176945866.542,2713.1754490333687
Manganese,2013,8838313857.248,2317.5285894660897
Manganese,2014,8480355582.559,2236.8111432649475
Manganese,2015,8732100768.131,2012.0814589999372
Manganese,2016,8535660079.973,1776.361342461886
Manganese,2017,14787873253.658,1977.0009489302968
Manganese,2018,16034326341.107,2378.4268735491564
Manganese,2019,13214270370.619,1899.7558621933622
Manganese,2020,10381393296.149,1713.6358146684233
Manganese,2021,11382885155.688,4053.5928775330954
Manganese,2022,14852933885.412,4501.483389798607
Manganese,2023,12056749681.442,2224.675116851747
Manganese,2024,9232395809.371,2097.5748753058538
Nickel,2005,27321867797.767,14777.814592352091
Nickel,2006,40434639197.991,24125.614138002013
Nickel,2007,66139712514.77,37135.841890395175
Nickel,2008,64469355208.066,21141.46547041187
Nickel,2009,32976996757.727,14666.737879922963
Nickel,2010,52111136391.083,21809.999287125916
Nickel,2011,67766666760.359,22909.14221151735
Nickel,2012,58427444213.447,17541.739475696406
Nickel,2013,52308237957.007,15029.988579506242
Nickel,2014,54707492765.61,16893.374547885687
Nickel,2015,54983853948.175,11862.634518990577
Nickel,2016,43569415217.583,9595.179080988457
Nickel,2017,47739848610.659,10409.634946067683
Nickel,2018,57441451140.353,13114.063888847615
Nickel,2019,45029914103.229,13913.908692907333
Nickel,2020,44178910219.391,13790.426574387631
Nickel,2021,54587023352.003,18467.051873713845
Nickel,2022,76144056430.691,25867.262713207154
Nickel,2023,73134116254.889,21528.674615306794
Nickel,2024,60627539962.196,16815.971487977604
