mineral,date,data_transformation,obs_value
Cobalt,2005-01,INDEX,136.0598338353427
Cobalt,2005-02,INDEX,131.513775770024
Cobalt,2005-03,INDEX,119.4139180787762
Cobalt,2005-04,INDEX,127.4790236247566
Cobalt,2005-05,INDEX,114.1668297914328
Cobalt,2005-06,INDEX,104.9127841195233
Cobalt,2005-07,INDEX,98.7116785559202
Cobalt,2005-08,INDEX,114.070554239131
Cobalt,2005-09,INDEX,114.7000917345788
Cobalt,2005-10,INDEX,99.21242452692296
Cobalt,2005-11,INDEX,98.44210566305802
Cobalt,2005-12,INDEX,105.5143296041695
Cobalt,2006-01,INDEX,101.0954089899303
Cobalt,2006-02,INDEX,93.5321938694588
Cobalt,2006-03,INDEX,100.0963204023872
Cobalt,2006-04,INDEX,110.1104622665886
Cobalt,2006-05,INDEX,111.3148962869044
Cobalt,2006-06,INDEX,104.2949806488054
Cobalt,2006-07,INDEX,102.4212864635534
Cobalt,2006-08,INDEX,124.1165758934117
Cobalt,2006-09,INDEX,140.6108312316677
Cobalt,2006-10,INDEX,136.1606333489861
Cobalt,2006-11,INDEX,138.5180413293566
Cobalt,2006-12,INDEX,206.7706152372263
Cobalt,2007-01,INDEX,187.3132056127077
Cobalt,2007-02,INDEX,191.1776582150123
Cobalt,2007-03,INDEX,219.6453918262448
Cobalt,2007-04,INDEX,227.1240654191444
Cobalt,2007-05,INDEX,214.7609273151922
Cobalt,2007-06,INDEX,204.8119150105146
Cobalt,2007-07,INDEX,196.2989238275412
Cobalt,2007-08,INDEX,182.1502347315603
Cobalt,2007-09,INDEX,205.0733589103411
Cobalt,2007-10,INDEX,213.9056158740385
Cobalt,2007-11,INDEX,233.5459699173951
Cobalt,2007-12,INDEX,285.1186243056981
Cobalt,2008-01,INDEX,326.1069258363199
Cobalt,2008-02,INDEX,357.4202109351889
Cobalt,2008-03,INDEX,373.1749736283053
Cobalt,2008-04,INDEX,363.2034088377725
Cobalt,2008-05,INDEX,349.2215408162646
Cobalt,2008-06,INDEX,332.4680732644696
Cobalt,2008-07,INDEX,290.6503788212129
Cobalt,2008-08,INDEX,198.2545272950013
Cobalt,2008-09,INDEX,228.9124438870117
Cobalt,2008-10,INDEX,246.4852062234465
Cobalt,2008-11,INDEX,162.5636027291358
Cobalt,2008-12,INDEX,109.946397981058
Cobalt,2009-01,INDEX,120.6342566506838
Cobalt,2009-02,INDEX,120.1790330406813
Cobalt,2009-03,INDEX,104.0511108577326
Cobalt,2009-04,INDEX,114.5375118738634
Cobalt,2009-05,INDEX,117.0110483261734
Cobalt,2009-06,INDEX,107.7904476541825
Cobalt,2009-07,INDEX,125.3420039218286
